Bar,Date,Time,Open,High,Low,Close,CCI(20C),%K(141),%D(3)
188,11/14/07,12:05,149000,149025,148875,148975,80.53,78.12,80.2
189,11/14/07,12:10,148975,149300,148975,149225,160.43,92.1,83.82
190,11/14/07,12:15,149250,149275,149075,149100,97.65,78.94,83.05
191,11/14/07,12:20,149075,149225,149075,149225,126.36,91.66,87.57
192,11/14/07,12:25,149225,149475,149200,149350,152.32,86.84,85.81
193,11/14/07,12:30,149325,149350,149175,149200,95.01,71.05,83.18
194,11/14/07,12:35,149175,149325,149150,149300,111.41,81.57,79.82
195,11/14/07,12:40,149275,149350,149100,149125,55.46,63.15,71.92
196,11/14/07,12:45,149125,149125,148925,148975,7.75,45.94,63.56
197,11/14/07,12:50,149000,149025,148875,149000,7.72,38.7,49.27
198,11/14/07,12:55,148975,149075,148825,148850,-54.58,3.84,29.5
199,11/14/07,13:00,148825,149025,148825,148850,-60.41,3.84,15.46
200,11/14/07,13:05,148850,149000,148850,148850,-67.2,3.84,3.84
201,11/14/07,13:10,148875,149175,148850,149175,64.3,53.84,20.51
202,11/14/07,13:15,149175,149175,149075,149100,23.45,42.3,33.33
203,11/14/07,13:20,149125,149325,149050,149300,112.82,73.07,56.41
204,11/14/07,13:25,149325,149350,149225,149250,79.38,65.38,60.25
205,11/14/07,13:30,149250,149275,149125,149250,71.6,65.38,67.94
206,11/14/07,13:35,149250,149275,148900,148925,-84.68,19.04,49.93
207,11/14/07,13:40,148950,149025,148900,148975,-59.52,28.57,37.66
208,11/14/07,13:45,148975,148975,148775,148900,-90.54,21.73,23.11
209,11/14/07,13:50,148900,148975,148750,148850,-99.61,16.66,22.32
210,11/14/07,13:55,148825,148975,148625,148650,-156.52,3.44,13.95
211,11/14/07,14:00,148650,148700,148525,148650,-138.29,15.15,11.75
212,11/14/07,14:05,148650,148800,148625,148750,-94.68,27.27,15.29
213,11/14/07,14:10,148750,148975,148650,148950,-13.8,51.51,31.31
214,11/14/07,14:15,148950,149050,148825,148975,3.44,54.54,44.44
215,11/14/07,14:20,148975,149075,148950,149000,18.61,57.57,54.54
216,11/14/07,14:25,149000,149175,148925,149000,17.85,57.57,56.56
217,11/14/07,14:30,149000,149075,148875,149000,17.85,57.57,57.57
218,11/14/07,14:35,149000,149150,148950,149100,59.52,76.66,63.93
219,11/14/07,14:40,149100,149150,148900,148950,-14.76,56.66,63.63
220,11/14/07,14:45,148975,149050,148625,148750,-107.14,34.61,55.98
221,11/14/07,14:50,148750,148950,148750,148825,-64.24,46.15,45.81
222,11/14/07,14:55,148825,148900,148650,148650,-129.69,19.23,33.33
223,11/14/07,15:00,148650,148725,148500,148600,-135.59,14.81,26.73
224,11/14/07,15:05,148575,148850,148525,148800,-37.64,44.44,26.16
