Bar,Date,Time,Open,High,Low,Close,Vol,ADX(1414),+DI(1414),-DI(1414)
113,05/18/06,00:00,80.50,81.35,80.03,80.66,5443600,20.1,14.97,22.96
114,05/19/06,00:00,80.86,81.00,79.51,80.28,7019100,20.64,13.61,24.04
115,05/22/06,00:00,79.83,80.34,79.40,80.02,6275900,21.24,12.82,23.32
116,05/23/06,00:00,80.25,81.30,79.64,79.83,5010300,20.42,17.29,21.01
117,05/24/06,00:00,79.35,80.04,79.06,79.78,7389600,20.23,16.26,23.27
118,05/25/06,00:00,79.89,80.18,79.65,80.14,3995000,19.86,16.6,22.5
119,05/26/06,00:00,80.16,80.86,79.70,80.75,3580800,18.65,19.67,20.85
120,05/30/06,00:00,80.35,80.96,80.15,80.16,5049100,17.4,19.29,19.77
121,05/31/06,00:00,80.15,80.83,79.61,79.90,6384900,16.86,17.79,21.67
122,06/01/06,00:00,79.89,80.87,79.81,80.69,4866500,16.31,16.83,20.2
123,06/02/06,00:00,80.50,80.56,79.15,79.52,7233300,16.5,15.22,22.38
124,06/05/06,00:00,79.10,80.04,79.01,79.06,5556000,16.83,14.23,21.81
125,06/06/06,00:00,79.06,79.90,78.50,79.76,7250600,17.62,13.005,23.07
126,06/07/06,00:00,79.78,80.74,79.12,79.15,7924800,17.13,16.78,20.83
127,06/08/06,00:00,78.55,79.58,76.75,77.03,13476500,18.52,14.18,30.56
128,06/09/06,00:00,77.24,78.10,77.05,77.63,6135400,19.81,13.34,28.75
129,06/12/06,00:00,77.63,78.09,77.01,77.02,4925000,21.03,12.53,27.23
130,06/13/06,00:00,77.14,77.93,76.82,76.93,7374200,22.3,11.75,26.6
131,06/14/06,00:00,76.93,77.85,76.93,77.71,6038600,23.47,11.12,25.19
132,06/15/06,00:00,77.85,78.78,76.95,78.56,6679600,23.2,15.18,22.62
133,06/16/06,00:00,78.44,78.53,77.57,77.95,8133500,22.95,14.32,21.35
134,06/19/06,00:00,77.90,78.30,77.34,77.67,5303100,22.93,13.53,21.49
135,06/20/06,00:00,77.84,78.30,77.25,77.99,6124500,23.006,12.7,20.7
136,06/21/06,00:00,77.99,78.56,77.98,78.30,5615900,22.66,13.83,19.97
137,06/22/06,00:00,78.16,78.37,77.00,77.19,5569000,23.26,12.69,24.2
138,06/23/06,00:00,77.15,77.84,76.94,77.10,4520600,23.88,12.002,23.24
139,06/26/06,00:00,77.04,77.52,76.80,77.15,3448000,24.58,11.46,23.07
140,06/27/06,00:00,77.32,77.60,76.32,76.63,5597000,25.63,10.54,24.22
141,06/28/06,00:00,76.53,76.60,76.06,76.56,4392200,26.81,10.16,25.006
142,06/29/06,00:00,76.89,77.80,76.56,77.59,5449200,25.97,17.02,23.02
143,06/30/06,00:00,77.70,77.93,76.79,76.82,7918800,25.006,16.61,21.34
144,07/03/06,00:00,77.54,78.27,77.27,78.02,3177300,23.64,17.23,19.41
145,07/05/06,00:00,78.00,78.39,77.52,77.77,4048200,22.21,17.04,18.34
146,07/06/06,00:00,77.59,78.53,77.57,78.09,4333100,20.69,16.89,17.2
147,07/07/06,00:00,78.09,78.09,76.12,76.42,6642600,20.89,14.86,23.97
148,07/10/06,00:00,76.18,76.83,75.87,76.67,7154700,21.29,13.98,24.09
149,07/11/06,00:00,76.25,76.65,75.44,76.47,6086500,22.03,12.93,24.91
150,07/12/06,00:00,76.07,76.30,74.82,75.48,8372100,23.2,11.65,26.16
151,07/13/06,00:00,75.01,75.28,73.83,74.24,8754700,24.91,10.54,29.4
152,07/14/06,00:00,74.24,74.30,73.37,73.57,6957800,26.76,9.96,30.5
153,07/17/06,00:00,73.35,73.94,73.20,73.70,6823100,28.57,9.51,30.16
154,07/18/06,00:00,73.70,74.42,72.73,74.26,8730500,29.45,11.39,27.16
155,07/19/06,00:00,76.00,77.06,76.00,76.07,14536900,27.47,23.9,23.06
156,07/20/06,00:00,75.73,75.88,75.20,75.48,12216500,26.04,22.75,26.37
157,07/21/06,00:00,75.49,75.50,74.50,74.86,8372500,25.22,21.47,28.82
158,07/24/06,00:00,74.92,76.15,74.92,75.99,5611200,23.87,23.56,26.73
159,07/25/06,00:00,75.99,76.41,75.31,75.89,5580300,22.38,23.57,25.07
160,07/26/06,00:00,75.48,76.30,75.36,75.83,3870100,21.008,22.29,23.71
161,07/27/06,00:00,75.83,77.29,75.75,76.15,6439100,20.15,25.96,21.64
162,07/28/06,00:00,76.38,77.30,76.26,76.96,4165700,19.37,24.31,20.22
163,07/31/06,00:00,76.44,77.50,76.15,77.41,5393000,18.81,23.58,18.67
164,08/01/06,00:00,76.65,77.38,75.75,76.14,4406800,17.87,21.41,19.17
165,08/02/06,00:00,76.21,76.93,76.20,76.32,3283800,16.98,20.44,18.3
166,08/03/06,00:00,76.00,76.73,74.90,76.33,2765800,16.66,18.38,23.63
167,08/04/06,00:00,76.65,76.77,75.32,75.91,5062400,16.32,17.14,21.76
168,08/07/06,00:00,75.63,76.20,75.28,75.52,4034100,16.04,16.25,20.86
169,08/08/06,00:00,75.63,76.26,75.11,75.33,3794700,15.95,15.2,20.46
170,08/09/06,00:00,75.56,76.28,75.39,75.39,4480800,15.83,14.49,19.34
171,08/10/06,00:00,75.20,76.08,75.05,75.74,3213600,16.08,13.62,20.16
172,08/11/06,00:00,75.34,75.78,75.20,75.48,3695800,16.32,13.14,19.45
173,08/14/06,00:00,76.05,77.49,75.60,76.68,4997400,15.94,21.46,17.21
174,08/15/06,00:00,76.90,77.14,76.31,77.08,5985400,15.58,20.41,16.36
175,08/16/06,00:00,77.48,79.28,77.35,79.09,7387200,16.97,29.82,14.36
176,08/17/06,00:00,78.93,79.56,78.53,79.37,5602300,18.42,29.67,13.52
177,08/18/06,00:00,79.38,79.97,78.63,79.90,5399700,20.02,29.74,12.51
178,08/21/06,00:00,79.51,79.88,78.87,79.28,3676500,21.5,27.99,11.77
179,08/22/06,00:00,79.28,79.55,78.61,78.95,4057200,22.49,26.46,12.64
180,08/23/06,00:00,78.95,79.47,78.42,78.67,3428500,23.12,24.83,12.97
181,08/24/06,00:00,78.90,79.50,78.87,79.38,3473300,23.74,23.78,12.33
182,08/25/06,00:00,79.20,80.00,79.14,79.88,3428100,24.71,25.58,11.68
183,08/28/06,00:00,79.91,80.47,79.76,80.32,5259400,25.95,27.4,11.16
184,08/29/06,00:00,80.06,81.48,80.06,81.40,5208500,27.73,31.24,10.17
185,08/30/06,00:00,81.26,81.68,80.84,81.22,4439000,29.49,30.85,9.64
186,08/31/06,00:00,81.30,81.50,80.78,80.97,3786200,31.02,29.41,9.57
187,09/01/06,00:00,81.13,81.57,80.81,81.41,3294000,32.48,28.39,9.09
188,09/05/06,00:00,81.19,81.54,80.60,80.85,3968500,33.42,26.61,9.92
189,09/06/06,00:00,80.29,80.69,80.17,80.28,3727600,33.48,25.36,12.41
190,09/07/06,00:00,79.90,80.38,79.31,79.40,3913600,32.15,23.5,17.39
191,09/08/06,00:00,79.60,80.86,79.35,80.66,4498600,31.41,24.33,15.65
192,09/11/06,00:00,80.60,81.20,80.25,80.93,4316200,31.04,25.06,14.65
193,09/12/06,00:00,81.14,82.50,81.06,82.28,5722200,31.7,30.93,13.16
194,09/13/06,00:00,82.25,82.70,81.84,82.21,4980200,32.44,30.5,12.42
195,09/14/06,00:00,81.90,83.00,81.74,82.47,4265300,33.33,29.95,11.4
196,09/15/06,00:00,83.21,83.59,82.79,82.94,8203800,34.51,31.6,10.57
197,09/18/06,00:00,82.56,83.21,82.17,82.24,4417600,34.6,29.46,13.9
198,09/19/06,00:00,81.97,82.09,81.42,81.87,5088600,33.64,27.85,18.12
199,09/20/06,00:00,82.37,83.79,82.20,83.42,7524600,33.93,35.18,15.93
200,09/21/06,00:00,82.61,83.25,81.35,81.61,8909000,33.2,30.85,19.02
201,09/22/06,00:00,81.75,82.12,81.01,81.21,4350200,32.15,28.81,19.79
202,09/25/06,00:00,81.65,82.28,81.28,82.00,5685100,31.3,27.92,18.52
203,09/26/06,00:00,81.90,82.66,81.70,82.50,4917900,30.8,28.6,17.43
204,09/27/06,00:00,82.00,82.67,81.71,82.09,5881600,30.34,26.96,16.4
205,09/28/06,00:00,81.85,82.35,81.72,81.99,4592900,29.91,25.88,15.74
206,09/29/06,00:00,81.90,82.79,81.77,81.94,4770700,29.88,27.01,14.7
207,10/02/06,00:00,81.76,82.47,81.58,81.87,4483300,29.57,25.44,15.09
208,10/03/06,00:00,81.88,82.26,81.56,81.65,4838500,29.25,24.25,14.52
209,10/04/06,00:00,81.65,83.25,81.63,83.10,6231900,29.79,28.11,13.003
210,10/05/06,00:00,82.81,83.21,82.60,82.92,4956700,30.28,26.96,12.47
