Bar,Date,Time,Open,High,Low,Close,Vol,ADX(1414),+DI(1414),-DI(1414)
87,04/11/06,00:00,81.83,82.06,80.75,81.16,5959700,27.25,15.11,23.89
88,04/12/06,00:00,81.10,81.37,80.63,80.75,3905700,27.03,14.36,23.52
89,04/13/06,00:00,81.18,82.60,81.12,81.98,4799700,25.15,20.46,20.77
90,04/17/06,00:00,81.92,82.92,81.40,81.64,4634200,23.66,20.51,18.82
91,04/18/06,00:00,81.89,83.53,81.70,83.31,7911800,22.92,21.83,16.72
92,04/19/06,00:00,83.95,84.00,81.26,81.86,10554800,22.67,21.13,14.24
93,04/20/06,00:00,81.65,82.85,81.64,82.02,6237200,22.44,19.74,13.3
94,04/21/06,00:00,82.49,82.50,81.38,81.66,6117400,21.85,18.52,13.91
95,04/24/06,00:00,81.30,82.41,81.10,82.11,6604100,20.91,17.19,14.45
96,04/25/06,00:00,81.95,82.90,81.60,82.67,6857200,20.58,18.65,13.41
97,04/26/06,00:00,82.84,83.48,82.71,83.35,6648800,20.86,21.08,12.8
98,04/27/06,00:00,82.70,84.40,82.70,83.88,8174300,21.88,24.17,11.6
99,04/28/06,00:00,83.51,83.62,81.98,82.34,8201800,21.79,21.72,14.27
100,05/01/06,00:00,82.59,83.31,82.10,82.23,6011400,21.72,20.31,13.34
101,05/02/06,00:00,82.11,82.74,82.00,82.42,4337000,21.5,19.47,13.34
102,05/03/06,00:00,82.54,83.29,82.45,82.70,5721100,21.82,21.64,12.68
103,05/04/06,00:00,82.87,83.09,82.40,82.43,3966900,22.05,20.76,12.46
104,05/05/06,00:00,82.95,83.34,82.70,83.28,4504700,22.5,21.12,11.79
105,05/08/06,00:00,82.60,83.22,82.30,82.89,3913300,22.25,19.87,13.51
106,05/09/06,00:00,82.49,83.29,82.41,83.23,4072800,22.1,19.22,12.77
107,05/10/06,00:00,82.90,83.33,82.60,82.90,3430400,22.01,18.58,12.18
108,05/11/06,00:00,82.65,83.09,82.45,82.46,5274500,21.65,17.81,12.65
109,05/12/06,00:00,82.47,83.69,82.30,82.39,5685700,22.03,20.06,11.52
110,05/15/06,00:00,81.80,83.15,81.80,82.89,5777700,21.49,18.35,13.7
111,05/16/06,00:00,83.00,83.25,82.07,82.16,4456200,21.12,17.62,12.68
112,05/17/06,00:00,81.75,82.21,81.02,81.27,5936400,20.03,16.3,18.32
